Name,Model,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Catherine Plaisant,davinci,Text2,0.290909091,0.488372093,0.270588235,0.441860465,710,0.9205588102340698,0.0586
Catherine Plaisant,davinci,Text3,0.303030303,0.524752475,0.29,0.405940594,473,0.955608606338501,0.1779
Catherine Plaisant,turbo,Text1,0.250980392,0.524714829,0.268199234,0.3878327,771,0.9722125,0.1568
Catherine Plaisant,turbo,Text2,0.319327731,0.617886179,0.336065574,0.479674797,935,0.9777352,0.2286
Catherine Plaisant,turbo,Text3,0.27184466,0.566037736,0.266666667,0.41509434,845,0.97084415,0.1793
Benjamin B. Bederson,ada,Text1,0.189473684,0.446700508,0.225641026,0.324873096,754,0.94768906,0.1055
Benjamin B. Bederson,ada,Text2,0.012195122,0.272189349,0.035928144,0.153846154,480,0.9072623,0.0041
Benjamin B. Bederson,ada,Text3,0.016877637,0.241666667,0.016806723,0.15,344,0.9304578,0.0055
Benjamin B. Bederson,curie,Text1,0.161434978,0.493506494,0.183406114,0.311688312,754,0.94785,0.1048
Benjamin B. Bederson,curie,Text2,0.145454545,0.475770925,0.168888889,0.290748899,700,0.95376533,0.1065
Benjamin B. Bederson,curie,Text3,0.101851852,0.473214286,0.135135135,0.214285714,736,0.9683707,0.0257
Benjamin B. Bederson,davinci,Text1,0.189473684,0.536082474,0.197916667,0.371134021,754,0.9224551320075988,0.1131
Benjamin B. Bederson,davinci,Text2,0.220779221,0.49382716,0.2125,0.345679012,511,0.8318108916282654,0.0448
Benjamin B. Bederson,davinci,Text3,0.222222222,0.549222798,0.230366492,0.393782383,368,0.9218272566795348,0.116
Benjamin B. Bederson,turbo,Text1,0.208695652,0.591666667,0.226890756,0.358333333,754,0.9759166,0.1379
Benjamin B. Bederson,turbo,Text2,0.186915888,0.520547945,0.202764977,0.356164384,797,0.9484398,0.1277
Benjamin B. Bederson,turbo,Text3,0.260465116,0.616071429,0.279279279,0.383928571,644,0.9682072,0.1582
Stuart K. Card,ada,Text1,0.21192053,0.506329114,0.243589744,0.316455696,698,0.9676049,0.0719
Stuart K. Card,ada,Text2,0.124223602,0.426035503,0.143712575,0.236686391,355,0.9525046,0.0266
Stuart K. Card,ada,Text3,0.113207547,0.339393939,0.147239264,0.23030303,380,0.94599426,0.0522
Stuart K. Card,curie,Text1,0.272727273,0.524590164,0.287292818,0.338797814,698,0.9570051,0.2039
Stuart K. Card,curie,Text2,0.222222222,0.47107438,0.233333333,0.338842975,490,0.96965957,0.1534
Stuart K. Card,curie,Text3,0.015037594,0.144927536,0.014705882,0.101449275,888,0.7622523,0.002
Stuart K. Card,davinci,Text1,0.309278351,0.58,0.323232323,0.47,698,0.958175778388977,0.196
Stuart K. Card,davinci,Text2,0.016528926,0.23255814,0.047244094,0.124031008,612,0.8048667311668396,0.0003
Stuart K. Card,davinci,Text3,0.247191011,0.576086957,0.296703297,0.347826087,125,0.9528314471244812,0.1678
Stuart K. Card,turbo,Text1,0.236641221,0.577617329,0.269090909,0.368231047,698,0.9757167,0.1324
Stuart K. Card,turbo,Text2,0.285714286,0.628571429,0.312138728,0.32,1083,0.95609033,0.1212
Stuart K. Card,turbo,Text3,0.411483254,0.724770642,0.444444444,0.486238532,427,0.9853024,0.2845
Achim Ebert,ada,Text1,0.14159292,0.341880342,0.173913043,0.239316239,602,0.9510643,0.0189
Achim Ebert,ada,Text2,0.29787234,0.597222222,0.309859155,0.347222222,148,0.96049494,0.1061
Achim Ebert,ada,Text3,0.077669903,0.20952381,0.077669903,0.171428571,362,0.90000075,0.0004
Achim Ebert,curie,Text1,0.240343348,0.566666667,0.277310924,0.341666667,602,0.9809884,0.1036
