Name,Model,publications,F1 Score,RougeL,Length,Vec2,Bleu
Fabian Beck,turbo,61,0.4774281273333333,0.6173613706666666,357.6666666666667,0.9363913633333332,0.3762666666666667
Dieter Schmalstieg,curie,300,0.411299246,0.5876138433515483,396.0,0.8786217172940572,0.3090666666666666
Dieter Schmalstieg,ada,300,0.2290318233333333,0.383620383,241.66666666666663,0.8250787655512491,0.0961333333333333
Dieter Schmalstieg,davinci,300,0.1762733076666666,0.1304485012395762,222.66666666666663,0.5547021133333333,0.1336333333333333
Dieter Schmalstieg,turbo,300,0.5655546133333333,0.6904083569999999,411.0,0.9375573766666668,0.4680333333333333
Daniel Weiskopf,ada,250,0.106954689,0.1933739013333333,215.3333333333333,0.0,0.0497666666666666
Daniel Weiskopf,curie,250,0.3108645133333333,0.3272596197170406,455.6666666666667,0.8888019323348999,0.2407666666666666
Daniel Weiskopf,turbo,250,0.5101253976666666,0.6004847073333334,415.6666666666667,0.93294075,0.3711666666666666
Daniel Weiskopf,davinci,250,0.370860573,0.4648869052538777,296.6666666666667,0.7541316666666668,0.1839999999999999
Catherine Plaisant,turbo,150,0.4213101713333333,0.5915804003333333,316.3333333333333,0.9316262666666668,0.3391999999999999
Catherine Plaisant,curie,150,0.3363138966666666,0.5447673045121663,267.6666666666667,0.8380720416704813,0.2053
Catherine Plaisant,ada,150,0.1633738846666666,0.2593369306666666,353.3333333333333,0.8824911117553711,0.1114
Catherine Plaisant,davinci,150,0.3759846503333333,0.427012987012987,248.0,0.78993375,0.2193666666666666
Carla E. Brodley,turbo,84,0.4996897546666667,0.6465440113333334,255.3333333333333,0.9336550733333334,0.4498333333333333
Carla E. Brodley,ada,84,0.1285246753333333,0.263322825,210.3333333333333,0.7960494756698608,0.0656666666666666
Carla E. Brodley,curie,84,0.2680981756666666,0.3064425770308123,234.0,0.8322619001070658,0.2008
Carla E. Brodley,davinci,84,0.315085283,0.6103378103378104,226.66666666666663,0.7511187466666667,0.2036666666666666
Benjamin B. Bederson,turbo,100,0.5137378343333333,0.6248145506666667,423.3333333333333,0.94091566,0.4223666666666667
Benjamin B. Bederson,curie,100,0.3606116726666666,0.4820384294068504,343.6666666666667,0.813357412815094,0.2817
Benjamin B. Bederson,ada,100,0.200089246,0.3090366579999999,160.33333333333334,0.0,0.12
Benjamin B. Bederson,davinci,100,0.1586509586666666,0.1744898694931141,200.0,0.52762881,0.1155333333333333
Ben Shneiderman,ada,400,0.1533072663333333,0.2791904513333333,247.66666666666663,0.8340923388799032,0.0697999999999999
Ben Shneiderman,curie,400,0.3487396996666667,0.4946370925752368,295.3333333333333,0.7692544062932333,0.1962
Ben Shneiderman,turbo,400,0.3867763833333333,0.5004238033333334,344.3333333333333,0.8529406866666666,0.2265
Ben Shneiderman,davinci,400,0.2150291556666666,0.2091880341880342,204.3333333333333,0.6790586666666667,0.0825
Anna Celler,turbo,14,0.2296430293333333,0.3272124329999999,286.0,0.9162829333333334,0.1434
Anna Celler,davinci,14,0.2351778653333333,0.2888888888888889,146.66666666666666,0.6546418333333334,0.0703333333333333
Anna Celler,curie,14,0.1221835073333333,0.266488413547237,241.0,0.0,0.0622
Anna Celler,ada,14,0.0357142856666666,0.074074074,50.0,0.0,0.0268666666666666
Achim Ebert,turbo,100,0.4160043126666666,0.5579192553333333,337.0,0.9115609333333332,0.3262333333333333
Achim Ebert,davinci,100,0.1460090986666666,0.1375661375661375,173.66666666666666,0.6558577366666666,0.0925
Achim Ebert,curie,100,0.227460883,0.43578231292517,271.3333333333333,0.744400163491567,0.1226999999999999
Achim Ebert,ada,100,0.1886546183333333,0.2677836566666666,144.66666666666666,0.0,0.0947
