Name,Model,publications,F1 Score,RougeL,Length,Vec2,Bleu,paragraph
James A. Jones,davinci,45,0.2990310076666667,0.5119658119658119,210.0,0.7540946533333334,0.1975666666666666,Paragraph 2
James A. Jones,curie,45,0.3561339113333333,0.5549825493566704,239.3333333333333,0.841552734375,0.2585,Paragraph 2
James A. Jones,ada,45,0.1785739846666666,0.3178044056666667,214.0,0.8703359961509705,0.0870333333333333,Paragraph 2
James A. Jones,turbo,45,0.4579215006666666,0.5720480666666666,278.3333333333333,0.9236536333333332,0.3623666666666666,Paragraph 2
Henry Fuchs,ada,100,0.1037480386666666,0.275672849,170.33333333333334,0.6409023006757101,0.0233666666666666,Paragraph 2
Henry Fuchs,curie,100,0.1862588603333333,0.3317778983541328,285.6666666666667,0.7669744690259298,0.1088333333333333,Paragraph 2
Henry Fuchs,davinci,100,0.2627334096666666,0.2163614163614163,181.0,0.6868941,0.1298666666666666,Paragraph 2
Henry Fuchs,turbo,100,0.4501560066666667,0.5926552576666667,323.3333333333333,0.8684387666666668,0.355,Paragraph 2
Ghassan Hamarneh,curie,150,0.155132405,0.2571059431524547,355.6666666666667,0.0,0.0912333333333333,Paragraph 2
Ghassan Hamarneh,davinci,150,0.1919607973333333,0.2675814751286449,176.0,0.63398435,0.1287,Paragraph 2
Ghassan Hamarneh,turbo,150,0.448757336,0.5552701976666666,367.0,0.9294762533333332,0.3471666666666667,Paragraph 2
Ghassan Hamarneh,ada,150,0.0893365893333333,0.162962963,193.66666666666663,0.6859161655108134,0.0178666666666666,Paragraph 2
Fabian Beck,davinci,61,0.3810956816666667,0.4664021164021164,222.0,0.75943259,0.2256,Paragraph 2
Fabian Beck,curie,61,0.407967033,0.6185185185185186,296.3333333333333,0.8750274976094564,0.3122,Paragraph 2
Fabian Beck,ada,61,0.1799373276666666,0.2811728393333333,337.0,0.891168495019277,0.1130999999999999,Paragraph 2
Fabian Beck,turbo,61,0.4774281273333333,0.6173613706666666,357.6666666666667,0.9363913633333332,0.3762666666666667,Paragraph 2
Dieter Schmalstieg,curie,300,0.411299246,0.5876138433515483,396.0,0.8786217172940572,0.3090666666666666,Paragraph 2
Dieter Schmalstieg,ada,300,0.2290318233333333,0.383620383,241.66666666666663,0.8250787655512491,0.0961333333333333,Paragraph 2
Dieter Schmalstieg,davinci,300,0.1762733076666666,0.1304485012395762,222.66666666666663,0.5547021133333333,0.1336333333333333,Paragraph 2
Dieter Schmalstieg,turbo,300,0.5655546133333333,0.6904083569999999,411.0,0.9375573766666668,0.4680333333333333,Paragraph 2
Daniel Weiskopf,ada,250,0.106954689,0.1933739013333333,215.3333333333333,0.0,0.0497666666666666,Paragraph 2
Daniel Weiskopf,curie,250,0.3108645133333333,0.3272596197170406,455.6666666666667,0.8888019323348999,0.2407666666666666,Paragraph 2
Daniel Weiskopf,turbo,250,0.5101253976666666,0.6004847073333334,415.6666666666667,0.93294075,0.3711666666666666,Paragraph 2
Daniel Weiskopf,davinci,250,0.370860573,0.4648869052538777,296.6666666666667,0.7541316666666668,0.1839999999999999,Paragraph 2
Catherine Plaisant,turbo,150,0.4213101713333333,0.5915804003333333,316.3333333333333,0.9316262666666668,0.3391999999999999,Paragraph 2
Catherine Plaisant,curie,150,0.3363138966666666,0.5447673045121663,267.6666666666667,0.8380720416704813,0.2053,Paragraph 2
Catherine Plaisant,ada,150,0.1633738846666666,0.2593369306666666,353.3333333333333,0.8824911117553711,0.1114,Paragraph 2
Catherine Plaisant,davinci,150,0.3759846503333333,0.427012987012987,248.0,0.78993375,0.2193666666666666,Paragraph 2
Carla E. Brodley,turbo,84,0.4996897546666667,0.6465440113333334,255.3333333333333,0.9336550733333334,0.4498333333333333,Paragraph 2
Carla E. Brodley,ada,84,0.1285246753333333,0.263322825,210.3333333333333,0.7960494756698608,0.0656666666666666,Paragraph 2
Carla E. Brodley,curie,84,0.2680981756666666,0.3064425770308123,234.0,0.8322619001070658,0.2008,Paragraph 2
Carla E. Brodley,davinci,84,0.315085283,0.6103378103378104,226.66666666666663,0.7511187466666667,0.2036666666666666,Paragraph 2
Benjamin B. Bederson,turbo,100,0.5137378343333333,0.6248145506666667,423.3333333333333,0.94091566,0.4223666666666667,Paragraph 2
Benjamin B. Bederson,curie,100,0.3606116726666666,0.4820384294068504,343.6666666666667,0.813357412815094,0.2817,Paragraph 2
Benjamin B. Bederson,ada,100,0.200089246,0.3090366579999999,160.33333333333334,0.0,0.12,Paragraph 2
Benjamin B. Bederson,davinci,100,0.1586509586666666,0.1744898694931141,200.0,0.52762881,0.1155333333333333,Paragraph 2
Ben Shneiderman,ada,400,0.1533072663333333,0.2791904513333333,247.66666666666663,0.8340923388799032,0.0697999999999999,Paragraph 2
