Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
James A. Jones,Text2,0.459459459,0.430379746835443,0.430379746835443,0.430379746835443,245,0.8538620471954346,0.3232
James A. Jones,Text3,0.189189189,0.5925925925925926,0.5925925925925926,0.5925925925925926,190,0.8076136708259583,0.1242
Catherine Plaisant,Text1,0.428571429,0.6117647058823529,0.6117647058823529,0.6117647058823529,349,0.8684266209602356,0.2866
Catherine Plaisant,Text2,0.170731707,0.4578313253012048,0.4578313253012048,0.4578313253012048,241,0.8613214492797852,0.107
Catherine Plaisant,Text3,0.409638554,0.5647058823529412,0.5647058823529412,0.5647058823529412,213,0.7844680547714233,0.2223
Benjamin B. Bederson,Text1,0.378378378,0.6491228070175439,0.6491228070175439,0.6491228070175439,384,0.9364194273948668,0.3191
Benjamin B. Bederson,Text2,0.352941176,0.4285714285714286,0.4285714285714286,0.4285714285714286,418,0.7282319664955139,0.2483
Benjamin B. Bederson,Text3,0.350515464,0.3684210526315788,0.3684210526315788,0.3684210526315788,229,0.7754208445549011,0.2777
Stuart K. Card,Text1,0.47311828,0.6458333333333334,0.6458333333333334,0.6458333333333334,371,0.8938957452774048,0.3904
Stuart K. Card,Text2,0.144144144,0.5106382978723404,0.5106382978723404,0.5106382978723404,284,0.8392033576965332,0.0946
Stuart K. Card,Text3,0.513761468,0.6250000000000001,0.6250000000000001,0.6250000000000001,337,0.943872570991516,0.4154
Achim Ebert,Text1,0.323232323,0.5,0.5,0.5,342,0.7888094782829285,0.2413
Achim Ebert,Text2,0.194444444,0.3673469387755102,0.3673469387755102,0.3673469387755102,314,0.7051911354064941,0.0405
Achim Ebert,Text3,0.164705882,0.4399999999999999,0.4399999999999999,0.4399999999999999,158,0.7391998767852783,0.0863
Mary C. Whitton,Text1,0.435643564,0.6285714285714287,0.6285714285714287,0.6285714285714287,384,0.7974821925163269,0.3353
Mary C. Whitton,Text2,0.162790698,0.5048543689320387,0.5048543689320387,0.5048543689320387,298,0.7285627126693726,0.0113
Mary C. Whitton,Text3,0.391752577,0.5523809523809523,0.5523809523809523,0.5523809523809523,199,0.8483765721321106,0.33
Henry Fuchs,Text1,0.210526316,0.4742268041237114,0.4742268041237114,0.4742268041237114,320,0.7712909579277039,0.1478
Henry Fuchs,Text2,0.243902439,0.2736842105263158,0.2736842105263158,0.2736842105263158,317,0.7560840249061584,0.0924
Henry Fuchs,Text3,0.104347826,0.2474226804123711,0.2474226804123711,0.2474226804123711,220,0.773548424243927,0.0863
Dieter Schmalstieg,Text1,0.495726496,0.6557377049180328,0.6557377049180328,0.6557377049180328,483,0.8487721681594849,0.3656
Dieter Schmalstieg,Text2,0.503937008,0.5333333333333333,0.5333333333333333,0.5333333333333333,325,0.9126215577125548,0.4093
Dieter Schmalstieg,Text3,0.234234234,0.5737704918032787,0.5737704918032787,0.5737704918032787,380,0.8744714260101318,0.1523
Anna Celler,Text1,0.171428571,0.3823529411764705,0.3823529411764705,0.3823529411764705,212,0.0,0.101
Anna Celler,Text2,0.195121951,0.1818181818181818,0.1818181818181818,0.1818181818181818,217,0.0,0.0856
Anna Celler,Text3,0.0,0.2352941176470588,0.2352941176470588,0.2352941176470588,294,0.0,0.0
Ghassan Hamarneh,Text1,0.159090909,0.3720930232558139,0.3720930232558139,0.3720930232558139,283,0.0,0.0876
Ghassan Hamarneh,Text2,0.306306306,0.1666666666666666,0.1666666666666666,0.1666666666666666,309,0.0,0.1861
Ghassan Hamarneh,Text3,0.0,0.2325581395348837,0.2325581395348837,0.2325581395348837,475,0.0,0.0
Xenophon Papademetris,Text1,0.463414634,0.5499999999999999,0.5499999999999999,0.5499999999999999,329,0.827774703502655,0.3395
Xenophon Papademetris,Text2,0.372093023,0.4615384615384615,0.4615384615384615,0.4615384615384615,219,0.7833818197250366,0.257
Xenophon Papademetris,Text3,0.138888889,0.5499999999999999,0.5499999999999999,0.5499999999999999,244,0.6955777406692505,0.0238
Penny Rheingans,Text1,0.042553191,0.2947368421052632,0.2947368421052632,0.2947368421052632,411,0.6521285772323608,0.0046
Penny Rheingans,Text2,0.12371134,0.086021505376344,0.086021505376344,0.086021505376344,223,0.8006405830383301,0.052
Penny Rheingans,Text3,0.177419355,0.1684210526315789,0.1684210526315789,0.1684210526315789,251,0.9181330800056458,0.1062
Marie desJardins,Text1,0.4,0.6168224299065421,0.6168224299065421,0.6168224299065421,430,0.8910440802574158,0.2876
Marie desJardins,Text2,0.323232323,0.4571428571428571,0.4571428571428571,0.4571428571428571,289,0.7464870810508728,0.2181
Marie desJardins,Text3,0.146341463,0.5233644859813084,0.5233644859813084,0.5233644859813084,248,0.8213347792625427,0.1548
Carla E. Brodley,Text1,0.169014085,0.4285714285714285,0.4285714285714285,0.4285714285714285,285,0.7756382822990417,0.1156
Carla E. Brodley,Text2,0.162162162,0.1764705882352941,0.1764705882352941,0.1764705882352941,203,0.8225370645523071,0.1232
Carla E. Brodley,Text3,0.47311828,0.3142857142857143,0.3142857142857143,0.3142857142857143,214,0.8986103534698486,0.3636
