Name,Model,publications,F1 Score,RougeL,Length,Vec2,Bleu
Henry Fuchs,curie,100,0.179266348,0.285429385,180.3333333,0.66618867,0.045366667
Henry Fuchs,davinci,100,0.306409888,0.489795919,159.6666667,0.583150313,0.126933333
Henry Fuchs,turbo,100,0.252193185,0.415159053,228.6666667,0.70860827,0.143066667
Ghassan Hamarneh,curie,150,0.114983046,0.218484639,298.0,0.758744067,0.023666667
Ghassan Hamarneh,davinci,150,0.171911422,0.328855053,190.6666667,0.604237847,0.061533333
Ghassan Hamarneh,turbo,150,0.104563796,0.26438296,336.0,0.761718177,0.058966667
Ghassan Hamarneh,ada,150,0.025276052,0.169583574,426.6666667,0.768518253,0.0083
Fabian Beck,davinci,61,0.169022416,0.271763907,154.6666667,0.559721367,0.034233333
Fabian Beck,curie,61,0.136443299,0.255159047,281.0,0.7916483,0.027666667
Fabian Beck,ada,61,0.042478074,0.191853707,380.3333333,0.73645587,0.012166667
Fabian Beck,turbo,61,0.165218756,0.27526455,156.3333333,0.717194187,0.042533333
Dieter Schmalstieg,curie,300,0.183862434,0.301298701,191.3333333,0.758964,0.095833333
Dieter Schmalstieg,ada,300,0.052662618,0.201964286,179.3333333,0.69515953,0.0136
Dieter Schmalstieg,davinci,300,0.395706619,0.556089102,212.0,0.671950437,0.1923
Dieter Schmalstieg,turbo,300,0.312206183,0.494067945,212.3333333,0.764346117,0.153266667
Daniel Weiskopf,ada,250,0.007490637,0.118964369,265.6666667,0.653366747,0.0056
Daniel Weiskopf,curie,250,0.126015803,0.277784353,238.6666667,0.70839997,0.0209
Daniel Weiskopf,turbo,250,0.325144818,0.483290925,337.3333333,0.756061633,0.227966667
Daniel Weiskopf,davinci,250,0.321504605,0.48976249,177.6666667,0.67155269,0.1617
Catherine Plaisant,turbo,150,0.277089783,0.470466815,187.0,0.730853933,0.162033333
Catherine Plaisant,curie,150,0.106412418,0.202553153,305.0,0.68825744,0.0265
Catherine Plaisant,ada,150,0.045430542,0.169473038,250.3333333,0.656980217,0.012133333
Catherine Plaisant,davinci,150,0.310237603,0.466023918,142.0,0.63420931,0.117166667
Carla E. Brodley,turbo,84,0.296732026,0.403678161,228.3333333,0.785886133,0.102233333
Carla E. Brodley,ada,84,0.114533711,0.231138533,320.0,0.77034298,0.035633333
Carla E. Brodley,curie,84,0.178369976,0.295977296,236.0,0.787767073,0.049233333
Carla E. Brodley,davinci,84,0.256172839,0.37164751,195.0,0.657260887,0.0925
Benjamin B. Bederson,turbo,100,0.269193608,0.402908274,321.0,0.752579823,0.122033333
Benjamin B. Bederson,curie,100,0.101609298,0.185805861,256.6666667,0.714335673,0.032733333
Benjamin B. Bederson,ada,100,0.064123377,0.183413078,275.6666667,0.62178151,0.014366667
Benjamin B. Bederson,davinci,100,0.244479221,0.38440617,179.3333333,0.611265877,0.0707
Ben Shneiderman,ada,400,0.028747448,0.131752649,314.6666667,0.578920683,0.008766667
Ben Shneiderman,curie,400,0.127549665,0.21402972,300.0,0.707828047,0.037133333
Ben Shneiderman,turbo,400,0.407854051,0.571723426,195.0,0.797973533,0.227566667
Ben Shneiderman,davinci,400,0.35234091,0.535792894,226.0,0.667642443,0.108
Anna Celler,turbo,14,0.272017282,0.433811802,150.6666667,0.798874,0.116266667
Anna Celler,davinci,14,0.268766322,0.385454545,121.3333333,0.694026217,0.1036
Anna Celler,curie,14,0.117940604,0.283250943,205.0,0.70187911,0.0286
Anna Celler,ada,14,0.038813039,0.160717879,239.6666667,0.655621983,0.011566667
Achim Ebert,turbo,100,0.225313603,0.337374723,157.0,0.75657049,0.0595
Achim Ebert,davinci,100,0.215383425,0.351023884,165.3333333,0.78367708,0.083366667
Achim Ebert,curie,100,0.094084464,0.174311058,292.0,0.733577743,0.030366667
Achim Ebert,ada,100,0.026530151,0.181566815,281.6666667,0.719642933,0.0094
