Name,Model,publications,Generated_Texts,F1_Score,RougeL,Length,Vec2,Bleu
Fabian Beck,ada,61,Text3,0.078431373,0.257425743,283,0.7168375,0.0217
Mary C. Whitton,turbo,59,Text2,0.289473684,0.351351351,157,0.7652615,0.0622
Mary C. Whitton,ada,59,Text1,0.068181818,0.186046512,331,0.7179807,0.0124
Mary C. Whitton,ada,59,Text2,0.093023256,0.188976378,202,0.6916472,0.0501
Mary C. Whitton,ada,59,Text3,0.159292035,0.27027027,414,0.8184758,0.0191
Mary C. Whitton,curie,59,Text1,0.126126126,0.254545455,331,0.7748833,0.038
Mary C. Whitton,curie,59,Text2,0.090909091,0.209302326,370,0.69267416,0.0135
Mary C. Whitton,curie,59,Text3,0.081081081,0.25,190,0.6334754,0.0076
Mary C. Whitton,davinci,59,Text1,0.150943396,0.269230769,289,0.6780158,0.0161
Mary C. Whitton,davinci,59,Text2,0.181818182,0.28125,113,0.46834177,0.0064
Mary C. Whitton,davinci,59,Text3,0.253521127,0.376811594,137,0.685784,0.0511
Mary C. Whitton,turbo,59,Text1,0.202531646,0.363636364,167,0.7092663,0.0129
Mary C. Whitton,turbo,59,Text3,0.324324324,0.444444444,141,0.8159952,0.0838
James A. Jones,turbo,45,Text3,0.21978022,0.333333333,150,0.7820302,0.0566
James A. Jones,turbo,45,Text2,0.161616162,0.285714286,203,0.7920514,0.0479
James A. Jones,ada,45,Text1,0.126126126,0.214285714,417,0.8330577,0.0314
James A. Jones,turbo,45,Text1,0.208333333,0.315789474,172,0.8049006,0.0757
James A. Jones,davinci,45,Text3,0.261904762,0.337349398,132,0.7851147,0.0332
James A. Jones,davinci,45,Text2,0.151898734,0.205128205,108,0.42486995,0.0024
James A. Jones,davinci,45,Text1,0.145833333,0.294736842,178,0.6371992,0.035
James A. Jones,curie,45,Text3,0.03539823,0.178571429,271,0.6724209,0.0099
James A. Jones,curie,45,Text2,0.127272727,0.23853211,218,0.6754765,0.0233
James A. Jones,curie,45,Text1,0.134615385,0.27184466,417,0.74497855,0.0225
James A. Jones,ada,45,Text3,0.066666667,0.168067227,127,0.87136066,0.0135
James A. Jones,ada,45,Text2,0.045454545,0.183908046,284,0.727941,0.0047
Anna Celler,turbo,14,Text3,0.271186441,0.385964912,142,0.7338042,0.1432
Anna Celler,turbo,14,Text2,0.338983051,0.49122807,130,0.8034529,0.1646
Anna Celler,ada,14,Text2,0.03030303,0.119402985,311,0.53113526,0.0125
Anna Celler,ada,14,Text3,0.02020202,0.164948454,184,0.72809696,0.0092
Anna Celler,curie,14,Text1,0.151898734,0.311688312,224,0.81800693,0.0426
Anna Celler,curie,14,Text2,0.125,0.258064516,232,0.7126911,0.0364
Anna Celler,curie,14,Text3,0.076923077,0.28,159,0.5749393,0.0068
Anna Celler,davinci,14,Text1,0.25974026,0.4,132,0.78241175,0.1664
Anna Celler,davinci,14,Text2,0.230769231,0.32,107,0.5426749,0.0174
Anna Celler,davinci,14,Text3,0.315789474,0.436363636,125,0.756992,0.127
Anna Celler,turbo,14,Text1,0.205882353,0.424242424,180,0.8593649,0.041
Anna Celler,ada,14,Text1,0.065934066,0.197802198,224,0.70763373,0.013
